# File modified by Jason Curtis:
#   - certain columns were removed, others renamed
#   - the row with the column names is no longer commented out so that the names can be read properly.
#
# Original File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Tue Dec  7 06:20:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries
# Kind of output: isochrone tables
log_Age Initial_Mass Mass log_Lum log_Temp log_g label Gmag G_BPmag G_RPmag
8.52001 3.3692061901 3.29 4.083 3.5014 -0.17 8 -3.168 -0.347 -4.503
8.52001 3.3692069054 3.29 4.144 3.4935 -0.262 8 -3.036 0.013 -4.395
8.52001 3.3692069054 3.29 4.157 3.4918 -0.282 8 -2.992 0.111 -4.359
8.52001 3.369207859 3.289 4.06 3.5048 -0.134 8 -3.226 -0.516 -4.548
8.52001 3.3692100048 3.289 3.916 3.5239 0.086 8 -3.463 -1.405 -4.703
8.52001 3.3692128658 3.288 3.937 3.5211 0.054 8 -3.442 -1.294 -4.696
8.52001 3.3692166805 3.286 3.993 3.5135 -0.032 8 -3.348 -0.939 -4.636
8.52001 3.3692219257 3.285 4.044 3.5066 -0.111 8 -3.25 -0.604 -4.565
8.52001 3.3692286015 3.282 4.078 3.5019 -0.164 8 -3.173 -0.369 -4.505
8.52001 3.3692364693 3.28 4.096 3.4993 -0.193 8 -3.126 -0.238 -4.468
8.52001 3.369246006 3.276 4.106 3.4978 -0.21 8 -3.097 -0.168 -4.444
8.52001 3.3692572117 3.273 4.114 3.4965 -0.223 8 -3.073 -0.111 -4.423
8.52001 3.3692572117 3.272 4.282 3.474 -0.481 8 -2.456 1.095 -3.906
8.52001 3.3692579269 3.272 4.188 3.4865 -0.338 8 -2.881 0.33 -4.263
8.52001 3.369259119 3.272 4.091 3.4995 -0.189 8 -3.122 -0.241 -4.463
8.52001 3.3692612648 3.271 3.947 3.5187 0.032 8 -3.399 -1.174 -4.664
8.52001 3.3692646027 3.27 3.968 3.516 0.001 8 -3.363 -1.042 -4.64
8.52001 3.3692688942 3.268 4.022 3.5086 -0.083 8 -3.263 -0.684 -4.571
8.52001 3.3692746162 3.266 4.071 3.502 -0.159 8 -3.159 -0.359 -4.491
8.52001 3.3692820072 3.263 4.103 3.4976 -0.209 8 -3.086 -0.155 -4.432
8.52001 3.3692908287 3.259 4.119 3.4953 -0.235 8 -3.045 -0.053 -4.398
8.52001 3.3693013191 3.255 4.126 3.4941 -0.247 8 -3.024 -0.001 -4.38
8.52001 3.3693137169 3.251 4.131 3.4934 -0.256 8 -3.008 0.035 -4.366
8.52001 3.3693139553 3.25 4.3 3.4706 -0.516 8 -2.322 1.324 -3.791
8.52001 3.3693144321 3.25 4.207 3.4831 -0.372 8 -2.788 0.49 -4.182
8.52001 3.3693158627 3.249 4.11 3.4961 -0.224 8 -3.054 -0.085 -4.404
8.52001 3.3693182468 3.248 3.966 3.5155 -0.002 8 -3.346 -1.009 -4.624
8.52001 3.3693218231 3.247 3.986 3.5128 -0.034 8 -3.308 -0.874 -4.599
8.52001 3.3693268299 3.244 4.04 3.5055 -0.117 8 -3.204 -0.524 -4.523
8.52001 3.3693332672 3.242 4.088 3.4989 -0.191 8 -3.097 -0.205 -4.44
8.52001 3.3693413734 3.238 4.119 3.4946 -0.24 8 -3.023 -0.015 -4.378
8.52001 3.3693511486 3.233 4.134 3.4924 -0.265 8 -2.983 0.084 -4.344
8.52001 3.3693628311 3.228 4.141 3.4913 -0.276 8 -2.957 0.141 -4.322
8.52001 3.3693766594 3.222 4.144 3.4906 -0.284 8 -2.938 0.182 -4.305
8.52001 3.3693768978 3.222 4.314 3.4675 -0.546 8 -2.123 1.653 -3.62
8.52001 3.3693773746 3.221 4.222 3.4801 -0.404 8 -2.703 0.631 -4.109
8.52001 3.3693788052 3.221 4.126 3.4931 -0.256 8 -2.99 0.058 -4.349
8.52001 3.3693814278 3.219 3.982 3.5127 -0.033 8 -3.295 -0.859 -4.586
8.52001 3.369385004 3.217 4.001 3.51 -0.064 8 -3.256 -0.721 -4.56
8.52001 3.3693902493 3.215 4.055 3.5026 -0.147 8 -3.145 -0.371 -4.474
8.52001 3.3693966866 3.211 4.102 3.4961 -0.221 8 -3.037 -0.072 -4.387
8.52001 3.3694050312 3.207 4.132 3.4919 -0.268 8 -2.963 0.116 -4.324
8.52001 3.3694152832 3.202 4.147 3.4897 -0.293 8 -2.911 0.23 -4.28
8.52001 3.3694272041 3.195 4.153 3.4886 -0.304 8 -2.893 0.264 -4.265
8.52001 3.3694415092 3.188 4.157 3.4879 -0.311 8 -2.88 0.287 -4.254
8.52001 3.3694417477 3.188 4.327 3.4645 -0.576 8 -1.896 2.029 -3.424
8.52001 3.3694424629 3.187 4.236 3.4771 -0.434 8 -2.603 0.8 -4.023
8.52001 3.3694438934 3.186 4.14 3.4901 -0.286 8 -2.914 0.216 -4.282
8.52001 3.3694467545 3.184 3.996 3.5099 -0.063 8 -3.241 -0.705 -4.545
8.52001 3.3694508076 3.182 4.016 3.5071 -0.094 8 -3.2 -0.576 -4.513
8.52001 3.3694565296 3.178 4.068 3.4998 -0.177 8 -3.082 -0.216 -4.421
8.52001 3.3694636822 3.174 4.114 3.4933 -0.25 8 -2.973 0.065 -4.33
8.52001 3.3694729805 3.168 4.144 3.4891 -0.297 8 -2.89 0.255 -4.26
8.52001 3.3694841862 3.162 4.158 3.4869 -0.321 8 -2.856 0.323 -4.231
8.52001 3.3694975376 3.153 4.164 3.4858 -0.332 8 -2.837 0.357 -4.215
8.52001 3.3695132732 3.144 4.167 3.4851 -0.34 8 -2.823 0.381 -4.203
8.52001 3.3695135117 3.144 4.339 3.4612 -0.606 8 -1.663 2.413 -3.223
8.52001 3.3695142269 3.143 4.248 3.4738 -0.465 8 -2.478 1.006 -3.914
8.52001 3.3695158958 3.142 4.153 3.4869 -0.318 8 -2.85 0.324 -4.225
8.52001 3.3695187569 3.14 4.009 3.5069 -0.094 8 -3.178 -0.549 -4.491
8.52001 3.3695230484 3.137 4.028 3.5041 -0.125 8 -3.133 -0.413 -4.456
8.52001 3.3695287704 3.133 4.08 3.4968 -0.207 8 -3.016 -0.077 -4.363
8.52001 3.3695363998 3.127 4.125 3.4903 -0.279 8 -2.9 0.213 -4.265
8.52001 3.369546175 3.12 4.154 3.4862 -0.325 8 -2.831 0.351 -4.207
8.52001 3.3695578575 3.112 4.167 3.484 -0.348 8 -2.794 0.421 -4.176
8.52001 3.3695716858 3.102 4.172 3.483 -0.359 8 -2.763 0.473 -4.149
8.52001 3.3695881367 3.09 4.175 3.4823 -0.366 8 -2.742 0.506 -4.131
8.52001 3.3695883751 3.09 4.347 3.4581 -0.635 8 -1.373 2.882 -2.967
8.52001 3.3695890903 3.09 4.257 3.4707 -0.495 8 -2.354 1.206 -3.805
8.52001 3.3695907593 3.088 4.163 3.4839 -0.348 8 -2.786 0.426 -4.167
8.52001 3.3695936203 3.086 4.018 3.5041 -0.122 8 -3.11 -0.392 -4.433
8.52001 3.3695979118 3.082 4.038 3.5013 -0.154 8 -3.062 -0.249 -4.395
8.52001 3.3696036339 3.077 4.089 3.494 -0.235 8 -2.943 0.068 -4.297
8.52001 3.3696115017 3.071 4.133 3.4875 -0.306 8 -2.835 0.318 -4.207
8.52001 3.3696210384 3.063 4.161 3.4834 -0.351 8 -2.77 0.446 -4.152
8.52001 3.3696327209 3.053 4.174 3.4813 -0.374 8 -2.711 0.549 -4.101
8.52001 3.3696467876 3.042 4.178 3.4803 -0.384 8 -2.681 0.598 -4.075
8.52001 3.3696632385 3.028 4.18 3.4796 -0.391 8 -2.662 0.629 -4.058
8.52001 3.3696634769 3.028 4.354 3.455 -0.663 8 -1.026 3.44 -2.659
8.52001 3.3696641922 3.027 4.264 3.4677 -0.523 8 -2.243 1.389 -3.708
8.52001 3.3696658611 3.026 4.171 3.4809 -0.376 8 -2.697 0.565 -4.087
8.52001 3.3696684837 3.023 4.026 3.5015 -0.149 8 -3.041 -0.237 -4.373
8.52001 3.3696727753 3.019 4.045 3.4986 -0.181 8 -2.995 -0.107 -4.336
8.52001 3.3696784973 3.013 4.096 3.4912 -0.262 8 -2.87 0.21 -4.231
8.52001 3.3696858883 3.006 4.139 3.4848 -0.332 8 -2.774 0.413 -4.15
8.52001 3.3696951866 2.997 4.166 3.4807 -0.377 8 -2.685 0.576 -4.075
8.52001 3.3697066307 2.986 4.179 3.4785 -0.4 8 -2.632 0.672 -4.03
8.52001 3.369720459 2.973 4.184 3.4775 -0.411 8 -2.606 0.715 -4.008
8.52001 3.369736433 2.957 4.186 3.4767 -0.418 8 -2.588 0.746 -3.992
8.52001 3.3697366714 2.957 4.36 3.4516 -0.692 8 -0.663 4.029 -2.336
8.52001 3.3697373867 2.956 4.271 3.4644 -0.553 8 -2.105 1.616 -3.588
8.52001 3.3697390556 2.954 4.178 3.4777 -0.407 8 -2.611 0.7 -4.011
8.52001 3.3697419167 2.951 4.033 3.4986 -0.179 8 -2.966 -0.079 -4.306
8.52001 3.3697462082 2.946 4.053 3.4956 -0.211 8 -2.921 0.037 -4.269
8.52001 3.3697519302 2.94 4.103 3.4881 -0.292 8 -2.803 0.325 -4.169
8.52001 3.369759798 2.931 4.146 3.4817 -0.362 8 -2.702 0.522 -4.084
8.52001 3.3697693348 2.92 4.172 3.4775 -0.407 8 -2.598 0.71 -3.997
8.52001 3.3697810173 2.907 4.184 3.4752 -0.43 8 -2.549 0.799 -3.956
8.52001 3.369795084 2.891 4.189 3.474 -0.442 8 -2.512 0.861 -3.924
8.52001 3.3698115349 2.872 4.191 3.4731 -0.45 8 -2.472 0.925 -3.889
8.52001 3.3698117733 2.872 4.366 3.4476 -0.727 8 -0.241 4.719 -1.961
8.52001 3.3698124886 2.871 4.278 3.4604 -0.588 8 -1.845 2.037 -3.36
8.52001 3.3698141575 2.869 4.185 3.4739 -0.442 8 -2.517 0.848 -3.926
8.52001 3.3698167801 2.865 4.04 3.495 -0.213 8 -2.875 0.094 -4.224
8.52001 3.3698210716 2.86 4.06 3.4919 -0.246 8 -2.82 0.229 -4.177
8.52001 3.3698267937 2.852 4.109 3.4844 -0.327 8 -2.718 0.453 -4.092
8.52001 3.3698341846 2.842 4.152 3.4779 -0.396 8 -2.596 0.684 -3.989
8.52001 3.3698437214 2.829 4.177 3.4737 -0.441 8 -2.504 0.856 -3.912
8.52001 3.3698551655 2.814 4.189 3.4714 -0.464 8 -2.4 1.031 -3.823
8.52001 3.3698689938 2.796 4.194 3.4701 -0.477 8 -2.349 1.115 -3.778
8.52001 3.3698849678 2.775 4.196 3.4692 -0.486 8 -2.31 1.177 -3.744
8.52001 3.3698852062 2.775 4.371 3.4431 -0.766 8 0.505 5.889 -1.285
8.52001 3.3698859215 2.773 4.284 3.456 -0.627 8 -1.566 2.5 -3.115
8.52001 3.369887352 2.771 4.192 3.4696 -0.481 8 -2.333 1.137 -3.763
8.52001 3.369890213 2.766 4.047 3.491 -0.251 8 -2.763 0.303 -4.121
8.52001 3.3698942661 2.759 4.066 3.4879 -0.284 8 -2.723 0.394 -4.087
8.52001 3.3698997498 2.749 4.116 3.4802 -0.366 8 -2.618 0.6 -3.998
8.52001 3.3699071407 2.737 4.157 3.4736 -0.436 8 -2.485 0.854 -3.889
8.52001 3.3699162006 2.721 4.183 3.4692 -0.481 8 -2.318 1.145 -3.747
8.52001 3.3699274063 2.702 4.194 3.4668 -0.506 8 -2.226 1.307 -3.669
8.52001 3.3699407578 2.68 4.199 3.4653 -0.52 8 -2.172 1.399 -3.622
8.52001 3.3699564934 2.653 4.201 3.4641 -0.531 8 -2.126 1.475 -3.581
8.52001 3.3699567318 2.653 4.377 3.4375 -0.813 8 1.455 7.383 -0.423
8.52001 3.3699574471 2.652 4.29 3.4505 -0.675 8 -1.138 3.205 -2.736
8.52001 3.3699588776 2.648 4.199 3.4642 -0.529 8 -2.138 1.452 -3.591
8.52001 3.3699615002 2.642 4.054 3.4859 -0.298 8 -2.653 0.476 -4.019
8.52001 3.3699655533 2.633 4.073 3.4826 -0.332 8 -2.615 0.55 -3.987
8.52001 3.3699710369 2.621 4.122 3.4748 -0.414 8 -2.49 0.795 -3.883
8.52001 3.3699781895 2.605 4.163 3.468 -0.485 8 -2.31 1.126 -3.732
8.52001 3.3699872494 2.585 4.188 3.4635 -0.531 8 -2.112 1.476 -3.565
8.52001 3.3699982166 2.561 4.199 3.4609 -0.557 8 -2.015 1.649 -3.482
8.52001 3.3700113297 2.533 4.203 3.4592 -0.573 8 -1.953 1.76 -3.428
8.52001 3.3700268269 2.5 4.205 3.4577 -0.586 8 -1.888 1.872 -3.371
8.52001 3.3700270653 2.499 4.382 3.4305 -0.872 8 2.932 9.628 0.938
8.52001 3.3700275421 2.497 4.296 3.4436 -0.734 8 -0.423 4.38 -2.099
8.52001 3.370029211 2.492 4.205 3.4574 -0.589 8 -1.892 1.867 -3.375
8.52001 3.3700318336 2.484 4.059 3.4794 -0.357 8 -2.511 0.679 -3.886
8.52001 3.3700358868 2.472 4.079 3.4759 -0.392 8 -2.466 0.771 -3.848
8.52001 3.370041132 2.455 4.127 3.4678 -0.476 8 -2.31 1.072 -3.72
8.52001 3.3700482845 2.433 4.168 3.4608 -0.548 8 -2.013 1.603 -3.47
8.52001 3.370057106 2.407 4.192 3.4559 -0.597 8 -1.825 1.961 -3.311
8.52001 3.3700678349 2.374 4.203 3.4529 -0.626 8 -1.602 2.339 -3.118
8.52001 3.3700809479 2.336 4.207 3.4506 -0.646 8 -1.451 2.594 -2.985
8.52001 3.3700959682 2.293 4.209 3.4485 -0.665 8 -1.317 2.826 -2.867
8.52001 3.3700962067 2.291 4.386 3.4206 -0.954 8 5.565 13.572 3.392
8.52001 3.3700966835 2.288 4.301 3.4339 -0.816 8 0.976 6.617 -0.836
8.52001 3.3700983524 2.28 4.211 3.4477 -0.672 8 -1.281 2.892 -2.836
8.52001 3.3701007366 2.267 4.065 3.47 -0.44 8 -2.306 0.984 -3.697
8.52001 3.3701045513 2.248 4.085 3.4661 -0.479 8 -2.224 1.141 -3.629
8.52001 3.3701097965 2.222 4.133 3.4575 -0.566 8 -1.892 1.754 -3.35
8.52001 3.3701167107 2.188 4.173 3.4498 -0.643 8 -1.488 2.49 -3.005
8.52001 3.3701252937 2.147 4.196 3.4441 -0.698 8 -1.086 3.213 -2.659
8.52001 3.3701355457 2.097 4.207 3.4402 -0.735 8 -0.619 3.988 -2.246
8.52001 3.3701481819 2.039 4.211 3.437 -0.764 8 -0.243 4.613 -1.911
8.52001 3.3701627254 1.974 4.213 3.4337 -0.793 8 0.125 5.228 -1.583
8.52001 3.3701629639 1.972 4.391 3.405 -1.086 8 11.447 21.532 9.008
8.52001 3.3701634407 1.967 4.306 3.4183 -0.949 8 4.573 12.111 2.488
8.52001 3.3701648712 1.954 4.216 3.4322 -0.806 8 0.301 5.522 -1.427
8.52001 3.3701674938 1.932 4.071 3.4548 -0.576 8 -1.765 1.875 -3.217
8.52001 3.3701713085 1.901 4.09 3.4503 -0.62 8 -1.601 2.185 -3.078
8.52001 3.3701763153 1.858 4.138 3.4409 -0.715 8 -0.95 3.372 -2.519
8.52001 3.370182991 1.804 4.177 3.4322 -0.802 8 0.19 5.298 -1.515
8.52001 3.3701913357 1.738 4.2 3.4256 -0.868 8 1.603 7.547 -0.239
8.52001 3.3702015877 1.661 4.211 3.4207 -0.918 8 2.851 9.516 0.902
8.52001 3.3702139854 1.573 4.215 3.4165 -0.962 8 4.458 11.88 2.4
8.52001 3.3702282906 1.477 4.216 3.4124 -1.007 8 6.07 14.208 3.9
8.52001 3.3702585697 0.767 -9.999 4.0 1.127 9 29.981 29.969 29.987
8.54001 0.0900000036 0.09 -3.167 3.3809 5.035 0 14.638 17.594 13.276
8.54001 0.0959940478 0.096 -3.105 3.3914 5.043 0 14.485 17.445 13.122
8.54001 0.1000000015 0.1 -3.064 3.3983 5.048 0 14.383 17.344 13.02
8.54001 0.1079728082 0.108 -2.992 3.4097 5.054 0 14.201 17.165 12.838
8.54001 0.115457423 0.115 -2.927 3.4202 5.06 0 14.002 16.911 12.645
8.54001 0.1200000122 0.12 -2.883 3.4265 5.058 0 13.81 16.584 12.467
8.54001 0.1369806081 0.137 -2.758 3.4412 5.049 0 13.316 15.816 12.003
8.54001 0.1400000006 0.14 -2.736 3.4438 5.047 0 13.232 15.687 11.924
8.54001 0.1599999964 0.16 -2.61 3.4565 5.03 0 12.766 14.995 11.488
8.54001 0.1771366745 0.177 -2.525 3.4648 5.023 0 12.462 14.553 11.205
8.54001 0.200000003 0.2 -2.417 3.4748 5.007 0 12.085 14.022 10.854
8.54001 0.25 0.25 -2.22 3.4912 4.973 0 11.426 13.126 10.243
8.54001 0.3000000119 0.3 -2.073 3.5025 4.951 0 10.963 12.535 9.81
8.54001 0.3500000238 0.35 -1.927 3.5134 4.915 0 10.511 11.973 9.387
8.54001 0.4000000358 0.4 -1.78 3.5253 4.873 0 10.058 11.413 8.965
8.54001 0.4500000477 0.45 -1.625 3.5375 4.818 0 9.593 10.855 8.531
8.54001 0.5 0.5 -1.469 3.5527 4.769 0 9.113 10.272 8.088
8.54001 0.5288707018 0.529 -1.383 3.5624 4.745 0 8.837 9.933 7.838
8.54001 0.5500000119 0.55 -1.316 3.5705 4.728 0 8.624 9.67 7.646
8.54001 0.6000000238 0.6 -1.156 3.5935 4.698 0 8.097 9.019 7.179
8.54001 0.6499999762 0.65 -0.998 3.6192 4.678 0 7.581 8.386 6.726
8.54001 0.6509393454 0.651 -0.995 3.6197 4.678 0 7.571 8.374 6.717
8.54001 0.7000000477 0.7 -0.845 3.6464 4.666 0 7.07 7.752 6.289
8.54001 0.72196877 0.722 -0.78 3.6581 4.661 0 6.851 7.482 6.103
8.54001 0.75 0.75 -0.7 3.6741 4.662 0 6.586 7.158 5.882
8.54001 0.8000000119 0.8 -0.571 3.694 4.64 0 6.196 6.704 5.543
8.54001 0.8500000238 0.85 -0.448 3.7128 4.619 0 5.841 6.295 5.232
8.54001 0.9000000358 0.899 -0.332 3.7299 4.596 1 5.517 5.929 4.945
8.54001 0.9500000477 0.95 -0.221 3.7452 4.569 1 5.216 5.59 4.68
8.54001 1.0 1.0 -0.112 3.7592 4.539 1 4.932 5.272 4.428
8.54001 1.0499999523 1.05 -0.009 3.7719 4.507 1 4.667 4.977 4.192
8.54001 1.078800559 1.078 0.049 3.7786 4.488 1 4.521 4.814 4.062
8.54001 1.1000000238 1.099 0.091 3.7834 4.474 1 4.416 4.7 3.97
8.54001 1.1499999762 1.149 0.185 3.7938 4.441 0 4.18 4.441 3.759
8.54001 1.2000000477 1.2 0.277 3.8038 4.408 1 3.953 4.193 3.555
8.54001 1.2361941338 1.236 0.34 3.8107 4.385 1 3.797 4.024 3.416
8.54001 1.25 1.25 0.363 3.8132 4.376 1 3.739 3.961 3.364
8.54001 1.2999999523 1.3 0.445 3.8224 4.348 1 3.535 3.741 3.181
8.54001 1.3500001431 1.35 0.523 3.8316 4.324 1 3.342 3.532 3.009
8.54001 1.4000000954 1.4 0.597 3.8412 4.304 1 3.159 3.334 2.849
8.54001 1.4500000477 1.45 0.668 3.8516 4.29 1 2.987 3.146 2.701
8.54001 1.5 1.5 0.736 3.8637 4.285 1 2.822 2.963 2.565
8.54001 1.5499999523 1.55 0.801 3.8767 4.286 1 2.666 2.787 2.441
8.54001 1.6000000238 1.6 0.864 3.8893 4.287 1 2.518 2.622 2.324
8.54001 1.6500000954 1.649 0.924 3.901 4.287 1 2.379 2.466 2.214
8.54001 1.6807137728 1.68 0.96 3.9076 4.286 1 2.298 2.376 2.15
8.54001 1.7000000477 1.699 0.982 3.9116 4.285 1 2.248 2.321 2.11
8.54001 1.7267707586 1.726 1.012 3.9168 4.282 1 2.181 2.247 2.057
8.54001 1.75 1.749 1.037 3.9212 4.28 1 2.124 2.184 2.011
8.54001 1.7999999523 1.799 1.091 3.9299 4.274 1 2.007 2.055 1.915
8.54001 1.8057533503 1.805 1.097 3.9309 4.273 1 1.994 2.041 1.904
8.54001 1.8500000238 1.849 1.143 3.9381 4.266 1 1.896 1.935 1.822
8.54001 1.8838154078 1.883 1.177 3.9433 4.261 1 1.823 1.856 1.76
8.54001 1.9000000954 1.899 1.194 3.9457 4.258 1 1.789 1.82 1.73
8.54001 1.9194809198 1.919 1.213 3.9486 4.254 1 1.748 1.776 1.695
8.54001 1.9500001669 1.95 1.244 3.9529 4.248 1 1.686 1.709 1.641
8.54001 2.0 2.0 1.293 3.9596 4.237 1 1.585 1.602 1.552
8.54001 2.0499999523 2.05 1.341 3.9661 4.225 1 1.488 1.499 1.465
8.54001 2.0999999046 2.099 1.389 3.9723 4.212 1 1.393 1.399 1.378
8.54001 2.1500000954 2.149 1.435 3.978 4.199 1 1.299 1.301 1.293
8.54001 2.1820747852 2.181 1.465 3.9816 4.19 1 1.239 1.239 1.238
8.54001 2.2000000477 2.199 1.482 3.9835 4.185 1 1.206 1.204 1.208
8.54001 2.25 2.249 1.527 3.9886 4.169 1 1.115 1.109 1.122
8.54001 2.2566716671 2.255 1.533 3.9893 4.167 1 1.103 1.096 1.111
8.54001 2.2999999523 2.299 1.572 3.9935 4.153 1 1.023 1.014 1.036
8.54001 2.331820488 2.331 1.601 3.9964 4.142 1 0.965 0.954 0.981
8.54001 2.3943138123 2.393 1.657 4.0015 4.118 1 0.848 0.833 0.87
8.54001 2.4000000954 2.399 1.662 4.002 4.116 1 0.837 0.823 0.86
8.54001 2.4575526714 2.457 1.713 4.0062 4.092 1 0.73 0.712 0.757
8.54001 2.5118968487 2.511 1.761 4.0098 4.068 1 0.627 0.607 0.657
8.54001 2.5853755474 2.585 1.825 4.0139 4.033 1 0.485 0.462 0.519
8.54001 2.5999999046 2.6 1.838 4.0144 4.025 1 0.455 0.432 0.49
8.54001 2.6458399296 2.646 1.878 4.0158 3.998 1 0.361 0.337 0.398
8.54001 2.695643425 2.696 1.922 4.0163 3.964 1 0.254 0.23 0.291
8.54001 2.7412693501 2.742 1.962 4.0161 3.93 1 0.151 0.127 0.188
8.54001 2.795279026 2.796 2.01 4.0146 3.885 1 0.024 0.001 0.06
8.54001 2.8000001907 2.8 2.014 4.0144 3.88 1 0.012 -0.011 0.048
8.54001 2.8157904148 2.816 2.028 4.0137 3.866 1 -0.026 -0.049 0.01
8.54001 2.862432003 2.863 2.07 4.0102 3.818 1 -0.146 -0.167 -0.113
8.54001 2.9042444229 2.905 2.106 4.0055 3.769 1 -0.26 -0.279 -0.231
8.54001 2.947347641 2.948 2.144 3.9989 3.711 1 -0.386 -0.4 -0.362
8.54001 2.9826514721 2.983 2.175 3.991 3.653 1 -0.5 -0.51 -0.483
8.54001 3.0 3.0 2.191 3.9863 3.622 1 -0.559 -0.566 -0.546
8.54001 3.0117001534 3.012 2.201 3.9832 3.601 1 -0.598 -0.603 -0.588
8.54001 3.0408780575 3.041 2.226 3.9743 3.544 1 -0.7 -0.7 -0.699
8.54001 3.0643100739 3.064 2.249 3.9659 3.492 1 -0.79 -0.784 -0.798
8.54001 3.0889575481 3.089 2.277 3.9601 3.443 1 -0.883 -0.873 -0.899
8.54001 3.0973799229 3.097 2.297 3.9668 3.451 1 -0.908 -0.903 -0.915
8.54001 3.1032378674 3.103 2.319 3.9772 3.472 1 -0.92 -0.922 -0.915
8.54001 3.1052408218 3.105 2.337 3.988 3.497 1 -0.918 -0.927 -0.902
8.54001 3.1062245369 3.106 2.356 3.9993 3.523 1 -0.915 -0.931 -0.889
8.54001 3.1067621708 3.106 2.377 4.01 3.546 1 -0.917 -0.939 -0.883
8.54001 3.1070356369 3.107 2.395 4.0183 3.561 1 -0.923 -0.949 -0.882
8.54001 3.1072981358 3.107 2.413 4.0269 3.577 1 -0.927 -0.958 -0.88
8.54001 3.1073541641 3.107 2.4 4.0242 3.579 2 -0.908 -0.937 -0.863
8.54001 3.1074607372 3.107 2.371 4.0165 3.578 2 -0.871 -0.897 -0.832
8.54001 3.1075410843 3.107 2.35 4.0074 3.562 2 -0.863 -0.883 -0.83
8.54001 3.1076426506 3.107 2.341 3.9958 3.524 2 -0.894 -0.907 -0.871
8.54001 3.1077575684 3.107 2.348 3.9843 3.472 2 -0.961 -0.968 -0.949
8.54001 3.1078898907 3.108 2.359 3.9726 3.414 2 -1.04 -1.039 -1.04
8.54001 3.1080365181 3.108 2.369 3.9609 3.357 2 -1.111 -1.102 -1.124
8.54001 3.1081938744 3.108 2.374 3.9491 3.305 2 -1.167 -1.149 -1.197
8.54001 3.1083600521 3.108 2.377 3.9374 3.255 2 -1.212 -1.184 -1.259
8.54001 3.1085329056 3.108 2.377 3.9256 3.208 2 -1.244 -1.204 -1.312
8.54001 3.1087090969 3.108 2.375 3.9137 3.162 2 -1.266 -1.213 -1.358
8.54001 3.1088857651 3.109 2.373 3.9019 3.117 2 -1.279 -1.212 -1.397
8.54001 3.1090605259 3.109 2.368 3.89 3.074 2 -1.285 -1.202 -1.432
8.54001 3.1092312336 3.109 2.363 3.8781 3.032 2 -1.283 -1.181 -1.463
8.54001 3.1093962193 3.109 2.357 3.8661 2.99 2 -1.276 -1.155 -1.489
8.54001 3.1095542908 3.109 2.35 3.8542 2.949 2 -1.264 -1.123 -1.509
8.54001 3.1097049713 3.109 2.343 3.8423 2.909 2 -1.247 -1.086 -1.524
8.54001 3.109847784 3.11 2.335 3.8304 2.87 2 -1.227 -1.046 -1.535
8.54001 3.1099832058 3.11 2.326 3.8186 2.831 2 -1.203 -1.0 -1.541
8.54001 3.1101119518 3.11 2.316 3.8068 2.794 2 -1.177 -0.951 -1.546
8.54001 3.1102340221 3.11 2.306 3.7953 2.758 2 -1.148 -0.898 -1.547
8.54001 3.1103525162 3.11 2.295 3.7842 2.724 2 -1.115 -0.841 -1.543
8.54001 3.1104762554 3.11 2.282 3.7732 2.693 2 -1.074 -0.775 -1.531
8.54001 3.1106100082 3.11 2.267 3.7626 2.667 2 -1.024 -0.701 -1.508
8.54001 3.1107809544 3.111 2.244 3.7513 2.644 2 -0.952 -0.603 -1.463
8.54001 3.1109354496 3.111 2.22 3.7427 2.633 2 -0.879 -0.512 -1.41
8.54001 3.1111006737 3.111 2.192 3.7344 2.629 2 -0.795 -0.408 -1.344
8.54001 3.1112601757 3.111 2.163 3.7271 2.628 2 -0.711 -0.308 -1.275
8.54001 3.1114218235 3.111 2.136 3.7203 2.628 2 -0.629 -0.21 -1.208
8.54001 3.1116154194 3.111 2.112 3.7124 2.621 2 -0.552 -0.114 -1.148
8.54001 3.1117613316 3.111 2.1 3.7066 2.609 2 -0.511 -0.059 -1.119
8.54001 3.1119177341 3.112 2.113 3.7007 2.573 3 -0.528 -0.061 -1.148
8.54001 3.112142086 3.112 2.143 3.6928 2.511 3 -0.583 -0.096 -1.22
8.54001 3.112339735 3.112 2.182 3.6869 2.449 3 -0.662 -0.159 -1.312
